rank,name,country,puzzle1_time,puzzle2_time,puzzle3_time,puzzle4_time,puzzle5_time,puzzle6_time,total_time,puzzle1_seconds,puzzle2_seconds,puzzle3_seconds,puzzle4_seconds,puzzle5_seconds,puzzle6_seconds,total_time_seconds
1,Wiktor Kacprzak,Poland,0:31:44,0:30:58,0:27:26,0:35:49,0:40:57,0:55:22,3:42:16,1904,1858,1646,2149,2457,3322,13336
2,Katharina Reiner,Germany,0:28:50,0:34:19,0:30:06,0:32:48,0:41:25,1:00:46,3:48:14,1730,2059,1806,1968,2485,3646,13694
3,Nina Schicks,Germany,0:32:09,0:38:14,0:30:50,0:36:24,0:37:36,1:00:16,3:55:29,1929,2294,1850,2184,2256,3616,14129
4,Weronika Huptas,Poland,0:28:39,0:37:33,0:34:31,0:36:15,0:41:17,1:00:29,3:58:44,1719,2253,2071,2175,2477,3629,14324
5,Maartje van der Meer,Netherlands,0:37:28,0:35:41,0:34:14,0:31:13,0:37:10,1:07:13,4:02:59,2248,2141,2054,1873,2230,4033,14579
6,Rachael Chambers,United Kingdom,0:31:50,0:35:45,0:33:46,0:35:27,0:43:23,1:06:22,4:06:33,1910,2145,2026,2127,2603,3982,14793
7,Maja von Borstel,Germany,0:32:46,0:38:34,0:32:05,0:34:32,0:43:51,1:08:47,4:10:35,1966,2314,1925,2072,2631,4127,15035
8,Emma Quirke,Ireland,0:38:16,0:39:33,0:35:36,0:32:42,0:39:27,1:06:29,4:12:03,2296,2373,2136,1962,2367,3989,15123
9,Markéta Freislerová,Czech Republic,0:33:05,0:38:40,0:35:36,0:33:21,0:45:18,1:06:29,4:12:29,1985,2320,2136,2001,2718,3989,15149
10,Inge Sinot,Netherlands,0:35:02,0:41:05,0:32:39,0:34:48,0:43:22,1:08:16,4:15:12,2102,2465,1959,2088,2602,4096,15312
11,Gabriel Moreno Turcu,Spain,0:35:31,0:38:07,0:35:56,0:38:41,0:48:56,1:10:00,4:27:11,2131,2287,2156,2321,2936,4200,16031
12,Tereza Koptíková,Czech Republic,0:33:45,0:42:00,0:40:19,0:37:07,0:47:09,1:07:04,4:27:24,2025,2520,2419,2227,2829,4024,16044
13,Dorottya Ferenczné dr. Horváth,Hungary,0:36:50,0:44:26,0:34:43,0:39:02,0:42:45,1:11:55,4:29:41,2210,2666,2083,2342,2565,4315,16181
14,Franziska Treber,Germany,0:35:36,0:41:16,0:37:00,0:41:10,0:46:43,1:11:33,4:33:18,2136,2476,2220,2470,2803,4293,16398
15,Hanna Lehikoinen,Finland,0:37:45,0:42:45,0:34:28,0:42:25,0:45:07,1:12:07,4:34:37,2265,2565,2068,2545,2707,4327,16477
16,Kelly Walter,USA,0:42:13,0:42:50,0:36:36,0:37:03,0:45:27,1:10:57,4:35:06,2533,2570,2196,2223,2727,4257,16506
17,Mari Black,USA,0:39:05,0:42:39,0:34:05,0:42:35,0:47:34,1:11:41,4:37:39,2345,2559,2045,2555,2854,4301,16659
18,Kateřina Klinková,Czech Republic,0:37:45,0:43:35,0:37:17,0:39:03,0:47:31,1:14:57,4:40:08,2265,2615,2237,2343,2851,4497,16808
19,Iryna Shvydchenko,Canada,0:38:50,0:44:23,0:37:02,0:44:20,0:44:53,1:10:56,4:40:24,2330,2663,2222,2660,2693,4256,16824
20,Chiara Dellantonio,Italy,0:39:58,0:43:37,0:36:20,0:37:10,0:50:56,1:13:49,4:41:50,2398,2617,2180,2230,3056,4429,16910
21,Lenka Henao Mišíková,Slovakia,0:39:47,0:42:28,0:39:28,0:41:33,0:45:32,1:14:03,4:42:51,2387,2548,2368,2493,2732,4443,16971
22,Emilia Persson,Sweden,0:43:48,0:40:25,0:34:24,0:40:00,0:50:15,1:17:08,4:46:00,2628,2425,2064,2400,3015,4628,17160
23,Tyra Weiring,Sweden,0:38:21,0:44:50,0:36:32,0:41:38,0:47:55,1:18:29,4:47:45,2301,2690,2192,2498,2875,4709,17265
24,Shea Burkett,USA,0:39:34,0:45:49,0:38:03,0:42:40,0:45:35,1:16:47,4:48:28,2374,2749,2283,2560,2735,4607,17308
25,Šárka Daňhelková,Czech Republic,0:36:12,0:44:53,0:41:22,0:44:35,0:50:00,1:11:41,4:48:43,2172,2693,2482,2675,3000,4301,17323
26,Jana Ondrouskova,Czech Republic,0:34:35,0:35:32,0:31:50,0:47:08,1:01:18,1:18:24,4:48:47,2075,2132,1910,2828,3678,4704,17327
27,Tamar Visser,Netherlands,0:39:38,0:41:43,0:37:54,0:40:42,0:50:30,1:18:35,4:49:02,2378,2503,2274,2442,3030,4715,17342
28,Clément Beauseigneur,France,0:37:59,0:42:40,0:38:13,0:42:55,0:49:57,1:17:56,4:49:40,2279,2560,2293,2575,2997,4676,17380
29,Delia Keetman,Netherlands,0:37:19,0:46:58,0:42:02,0:41:26,0:52:30,1:10:07,4:50:22,2239,2818,2522,2486,3150,4207,17422
